6/21/19 13:16,"b'That said, I love @ewarren and am leaning towards voting for her.  \xf0\x9d\x98\x8e\xf0\x9d\x98\xad\xf0\x9d\x98\xb0\xf0\x9d\x98\xb4\xf0\x9d\x98\xb4\xf0\x9d\x98\xa2\xf0\x9d\x98\xb3\xf0\x9d\x98\xba: FHA - Federal Housing Authority HOLC - Home Owners\xe2\x80\x99 Loan Corporation VA - Veterans Administration (now Veterans Affairs)'",b'bdhowald',[],1540,,C,S
6/20/19 21:15,"b""We\xe2\x80\x99ve finished today's summer #CLPHAMeeting sessions! Thank you to @DeptVivienda, the Virgin Islands Housing Authority, Gov @ricardorossello, and all of our speakers and panelists for a great day of discussions on disaster preparedness &amp; recovery!""",b'CLPHA',['CLPHAMeeting'],854,,C,S
6/20/19 20:04,"b'@sahrasulaiman @JohnMotter @OLAASM Through the CSPs though, hasn\xe2\x80\x99t that led to a weaponization of the Housing Authority, using parole/probation/\xe2\x80\x9cgang\xe2\x80\x9d status to lead to evictions, surveillance etc as a means to gentrify. If cops are getting shit on, I\xe2\x80\x99m assuming it\xe2\x80\x99s figurative and don\xe2\x80\x99t feel too bad.'",b'AdamOfTheSmiths',[],797,,C,EA
6/20/19 17:58,"b'Finally, did you know Councilperson @RevBurgessPgh is on the HACP board?  Is Reverend Burgess concerned that a fake clinic is being promoted by our Housing Authority this way?  #ExposeFakeClinics'",b'pghDSA',['ExposeFakeClinics'],7084,,C,EA
6/20/19 17:46,"b'Just visited the Hamden Housing Authority for their annual summer picnic - such a treat to talk with Authority\xe2\x80\x99s wonderful residents and their amazing management team, staff and board. This year, they had KAREOKE... https://t.co/9OOuUPymk4'",b'curtleng',[],943,,C,S
6/20/19 15:45,"b'Congratulations to the Kalispel Tribe, Lummi Nation Housing Authority, Spokane Indian Housing Authority, and Yakama Nation Housing Authority for being awarded a total of $2 million in HUD Indian Community Development Block Grants! https://t.co/Ue6v3kJiET'",b'WSHFC',[],1073,,C,S
6/20/19 14:03,b'Ready for our \xe2\x80\x9cLaptops for Graduating Seniors\xe2\x80\x9d many thanks to the Watervliet Housing Authority. https://t.co/n9QNtAL0LG',b'SuptCaplan',[],669,,C,S
6/20/19 14:00,b'New head of NYC Housing Authority - hand picked by Ben Carson and then Bill Deblasio - has made his career by privatizing public housing. #KeepPublicHousingPublic #NoToRAD https://t.co/TCwXyEz2cc',b'HousingJustice3',"['KeepPublicHousingPublic', 'NoToRAD']",71,,C,EA
6/20/19 14:00,"b'An amazing partnership! Bringing our supplier partners together with the USVI Housing Authority in St. Thomas. Special thanks to TTI, Behr Paint, Masonite, Niagra, Toledo, Henry Coatings, Master/Quikrete &amp; Stiebel Elton. The team ROCKED! https://t.co/GuspoQmRsm'",b'jlandrumTHD',[],71,,C,S
6/21/19 12:44,b'Thanks to @Spark_NH for providing the research and data that helps inspiring organizations like the Portsmouth Housing Authority do the right thing for our youngest citizens!   https://t.co/fWca31nnk3',b'stefanyshaheen',[],1713,,E,S
